Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A469025,OWNER SUR,04/25/2025,BILLI JEAN,CAT,4 YEARS,LARGE,BRN TORBI,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469025&location=MONT,
A529898,STRAY,04/09/2025,*WONDER GIRL,DOG,7 MONTHS,MED,CHOCOLATE,LABRADOR RETR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529898&location=MONT,"21500 BLUNT RD, GERMANTOWN MD 20876"
A526688,STRAY,12/18/2024,*MARCH,DOG,2 YEARS,LARGE,BROWN,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526688&location=MONT,"4200 ROUND HILL RD, SILVER SPRING MD 20906"
A528739,STRAY,03/03/2025,*DELILAH,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528739&location=MONT,"20400 HIGHLAND HALL DR, MONTGOMERY VILLAGE MD 20886"
A530057,STRAY,04/15/2025,*HILDA,DOG,2 YEARS,MED,BRINDLE / WHITE,STAFFORDSHIRE / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530057&location=MONT,"18400 FLOWER HILL WAY, GAITHERSBURG MD 20879"
A529455,STRAY,03/26/2025,*VEGAS,DOG,3 YEARS,MED,TAN / WHITE,AM PIT BULL TER / BOXER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529455&location=MONT,"20000 SWEETGUM CIR, GERMANTOWN MD 20874"
A527693,STRAY,01/25/2025,*JELLO,DOG,3 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527693&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904"
A529059,STRAY,03/15/2025,*ASTERISK,OTHER,2 YEARS,MED,TORTIE / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529059&location=MONT,"600 BUCKINGHAM DR, SILVER SPRING MD 20901"
A529760,STRAY,04/05/2025,*OKI-DOKI,DOG,3 YEARS,MED,TAN / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A529760&location=MONT,"13400 KEATING ST, ROCKVILLE MD 20853"
A528032,STRAY,02/05/2025,*YUKI,DOG,2 YEARS,LARGE,WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528032&location=MONT,"4600 FALCON ST, ROCKVILLE MD 20853"
